,comment,non-information,code,functional_type
174,"Connect receiver to sender for signal. Arguments: receiver A function or an instance method which is to receive signals. Receivers must be hashable objects. If weak is True, then receiver must be weak referenceable. Receivers must be able to accept keyword arguments. If a receiver is connected with a dispatch_uid argument, it will not be added if another receiver was already connected with that dispatch_uid. sender The sender to which the receiver should respond. Must either be a Python object, or None to receive events from any sender. weak Whether to use weak references to the receiver. By default, the module will attempt to use weak references to the receiver objects. If this parameter is false, then strong references will be used. dispatch_uid An identifier used to uniquely identify a particular instance of a receiver. This will usually be a string, though it may be anything hashable.",no,"def connect(self, receiver, sender=None, weak=True, dispatch_uid=None): from django.conf import settings if settings.configured and settings.DEBUG: assert callable(receiver), ""Signal receivers must be callable."" if not func_accepts_kwargs(receiver): raise ValueError(""Signal receivers must accept keyword arguments (**kwargs)."") if dispatch_uid: lookup_key = (dispatch_uid, _make_id(sender)) else: lookup_key = (_make_id(receiver), _make_id(sender)) if weak: ref = weakref.ref receiver_object = receiver if hasattr(receiver, '__self__') and hasattr(receiver, '__func__'): ref = weakref.WeakMethodreceiver_object = receiver.__self__ receiver = ref(receiver) weakref.finalize(receiver_object, self._remove_receiver) with self.lock: self._clear_dead_receivers() if not any(r_key == lookup_key for r_key, _ in self.receivers): self.receivers.append((lookup_key, receiver)) self.sender_receivers_cache.clear()",method_declaration
175,"Disconnect receiver from sender for signal. If weak references are used, disconnect need not be called. The receiver will be removed from dispatch automatically. Arguments: receiver The registered receiver to disconnect. May be none if dispatch_uid is specified. sender The registered sender to disconnect dispatch_uid the unique identifier of the receiver to disconnect",no,"def disconnect(self, receiver=None, sender=None, dispatch_uid=None): if dispatch_uid: lookup_key = (dispatch_uid, _make_id(sender)) else: lookup_key = (_make_id(receiver), _make_id(sender)) disconnected = False with self.lock: self._clear_dead_receivers() for index in range(len(self.receivers)): (r_key, _) = self.receivers[index] if r_key == lookup_key: disconnected = True del self [index] break self.sender_receivers_cache.clear() return disconnected",method_declaration
176, We could end up here with NO_RECEIVERS even if we do check this case in .send() prior to calling _live_receivers() due to concurrent .send() call.,no,if receivers is NO_RECEIVERS:,conditional
177,"Mark that the self.receivers list has dead weakrefs. If so, we will clean those up in connect, disconnect and _live_receivers while holding self.lock. Note that doing the cleanup here isn't a good  idea, _remove_receiver() will be called as side effect of garbage  collection, and so the call can happen while we are already holding self.lock.",no,self._dead_receivers = True,assignment
178,"Don't render the HTML 'required' attribute as it may cause incorrect validation for extra, optional, and deleted forms in the formset.",no,"'use_required_attribute': False,",assignment
179,List comprehension ensures is_valid() is called for all forms. Forms due to be deleted shouldn't cause the formset to be invalid.,no,forms_valid = all([ form.is_valid() for form in self.forms if not (self.can_delete and self._should_delete_form(form)) ]),assignment
180,"absolute_max is a hard limit on forms instantiated, to prevent memory-exhaustion attacks. Default to max_num + DEFAULT_MAX_NUM  (which is 2 * DEFAULT_MAX_NUM if max_num is None in the first place).",no,if absolute_max is None: absolute_max = max_num + DEFAULT_MAX_NUM,conditional
181,Add a flag to define which application module file is tested. This is set as an 'arg' in the build target to guarantee that it only triggers the tests of the application models in the module if that module file has been modified.,no,"FLAGS = flags.FLAGS flags.DEFINE_string('module', None, 'Application module used in this test.')",method_call
182,In debug mode we're replacing the files multidict with an ad-hoc subclass that raises a different error for key errors.,no,"if ( current_app and current_app.debug and self.mimetype != ""multipart/form-data"" and not self.files ): from .debughelpers import attach_enctype_error_multidict attach_enctype_error_multidict(self)",conditional
183,"We attach the view class to the view function for two reasons: first of all it allows us to easily figure out what class-based view this thing came from, secondly it's also used for instantiating the view class so you can actually replace it with something else for testing purposes and debugging.",no,view.view_class = cls,assignment
184,If we have no method at all in there we don't want to add a method list. This is for instance the case for the base class or another subclass of a base method view that does not introduce  new methods.,no,if methods: cls.methods = methods,conditional
185,Renders a template from the given template source string with the given context. Template variables will be autoescaped. :param source: the source code of the template to be rendered :param context: the variables that should be available in the context of the template.,no,"def render_template_string(source, **context): ctx = _app_ctx_stack.top ctx.app.update_template_context(context) return _render(ctx.app.jinja_env.from_string(source), context, ctx.app)",method_declaration
186,Core signals.  For usage examples grep the source code or consult the API documentation in docs/api.rst as well as docs/signals.rst,no,"template_rendered = _signals.signal(""template-rendered"")",assignment
187,"When data is changed, this is set to ``True``. Only the session  dictionary itself is tracked; if the session contains mutable  data (for example a nested dict) then this must be set to ``True`` manually when modifying that data. The session cookie  will only be written to the response if this is ``True``.",no,modified = False,assignment
188," if this is not an ip and app is mounted at the root, allow subdomain matching by adding a '.' prefix",no,"if self.get_cookie_path(app) == ""/"" and not ip:",conditional
189,The trick is to start the generator.  Then the code execution runs until the first dummy None is yielded at which point the context was already  pushed.  This item is discarded.  Then when the iteration continues the real generator is executed.,no,wrapped_g = generator(),method_call
190,"For compatibility with low-level network APIs (with 32-bit integers), the chunk size should be < 2^31, but still divisible by 4.",no,self._chunk_size = min([2 ** 31 - 4] + possible_sizes),assignment
191,We run this at the beginning of the next loop since we cannot be sure a file is complete until we hit the next boundary/part of the multipart content.,no,"self.handle_file_complete(old_field_name, counters)",method_call
192," Stream at beginning of header, look for end of header and parse it if found. The header must fit within one chunk",no,chunk = stream.read(max_header_size),assignment
193,"If location starts with '//' but has no netloc, reuse the schema and netloc from the current request. Strip the double slashes and continue as if it wasn't specified.",no,if location.startswith('//'):,conditional
194,"Join the constructed URL with the provided location, which allows the provided location to apply query strings to the base path.",no,"location = urljoin(self._current_scheme_host + self.path, location)",assignment
195,"The [2:-2] ranges below strip off *_TAG_START and *_TAG_END. We could do len(BLOCK_TAG_START) to be more ""correct"", but we've hard-coded the 2s here for performance. And it's not like  the TAG_START values are going to change anytime, anyway.",no,block_content = token_string[2:-2].strip(),assignment
196,Add the token to the command stack. This is used for error messages if further parsing fails due to an unclosed block tag.,no,"self.command_stack.append((command, token))",method_call
197,"If this block's parent doesn't have an extends node it is the root, and its block nodes also need to be added to the block context.",no,for node in compiled_parent.nodelist:,loop
198,"It would seem obvious to call these next two members 'template' and 'context', but those names are reserved as part of the test Client API. To avoid the name collision, we use different names.",no,self.template_name = template,assignment
199," _request stores the current request object in subclasses that know about requests, like TemplateResponse. It's defined in the base class to minimize code duplication. It's called self._request because self.request gets overwritten by django.test.client.Client. Unlike template_name and context_data,  _request should not be considered part of the public API.",no,self._request = None,var_declaration
