,comments
578," ALL_LOWERS('l'),"
579, if (preferences.isSaveInOriginalOrder()) {
580, while ((i < c.length) && (braceLevel > 0)) {
581," Optional<String> s = BibtexCaseChanger.findSpecialChar(c, i);"
582, @Override
583,public class ChangeCaseFunction implements BstFunction {
584, for (Field field : FIELDS) {
585," public static List<BibEntry> getSortedEntries(BibDatabaseContext bibDatabaseContext, List<BibEntry> entriesToSort, SavePreferences preferences) {"
586,public class DiVA implements IdBasedParserFetcher {
587,public class DoiResolution implements FulltextFetcher {
588, if (!sciLink.isEmpty()) {
589,                    connection.timeout(10000);
590," if ((href.contains(""pdf"") || hrefText.contains(""pdf"")) && new URLDownload(href).isPdf()) {"
591, if (links.size() == 1) {
592, public List<String> getValue(EntryType entryType) {
593,        row.startFullDrag();
594," public static List<Field> SUPPORTED_FIELDS = Arrays.asList(StandardField.DOI, StandardField.EPRINT, StandardField.ISBN);"
595,            } else {
596,            } else {
597, public static final String[] getDefaultOptions() {
598, boolean disable_dynloading = false;
599," private XTextRange getBookmarkRange(String name) throws NoSuchElementException, WrappedTargetException {"
600,        text = mxDoc.getText();
601, throw new ConnectionLostException(ex.getMessage());
602,public class SidePaneManager {
603, for (int j = 0; j < cEntries.length; j++) {
604,"        text.insertTextContent(position, xTextContent, true);"
605, Optional<String> pageInfo = getCustomProperty(name);
606," XTextContent xTextContent = UnoRuntime.queryInterface(XTextContent.class, bookmark);"
607," XBookmarksSupplier xBookmarksSupplier = UnoRuntime.queryInterface(XBookmarksSupplier.class, xCurrentComponent);"
608," String bName = getUniqueReferenceMarkName(keyString, OOBibBase.AUTHORYEAR_PAR);"
609,                    resultDatabase.insertEntry(clonedEntry);
610, if (!emptyKeys) {
611, Optional<Path> actualFile = chooseAmongInstallations(installations);
612,class ConnectionLostException extends RuntimeException {
613,public class PreferencesDialogView extends BaseDialog<PreferencesDialogViewModel> {
614," private void jumpToSearchKey(ListView<PreviewLayout> list, KeyEvent keypressed) {"
615, private class PreferredIndexSort implements Comparator<SidePaneComponent> {
616, void setValues();
617, for (PreferencesTab tab : preferenceTabs) {
618, HBox themeBox = new HBox();
619, boolean validateSettings();
620," Label keyGeneratorSettings = new Label(Localization.lang(""Key generator settings""));"
621, public StringProperty mainFileDirProperty() { return mainFileDirProperty; }
622,public class StateManager {
623,"                    fileLinker.moveFilesToFileDirAndAddToEntry(entry, files);"
624, return menu;
625, boolean requiresBibtexKeys();
626,"                    prefix.concat(""\"""" + getCiteCommand().replaceAll(""\\\\"", ""\\\\\\\\"") + ""{"" + keys + ""}\"""").concat(suffix);"
627, try {
628,        base.setPreamble(newValue);
629, ViewLoader.view(this)
630, private final boolean separationBySpace;
631,                        setOnContextMenuRequested(event -> {
632,public class OnlyIntegerFormatter extends TextFormatter<Integer> {
633," private static PseudoClass dragOverBottom = PseudoClass.getPseudoClass(""dragOver-bottom"");"
634,            row.setOnContextMenuRequested(event -> {
635,public class TooltipTextUtil {
636, <V> Future<V> execute(Task<V> task);
637, void shutdown();
638, return true;
639,public class AutoCompleteUpdater {
640, final CountDownLatch doneLatch = new CountDownLatch(1);
641, private StringConverter<T> converter;
642, public BackgroundTask<Void> thenRun(Consumer<V> nextOperation) {
643, boolean openFolders = JabRefPreferences.getInstance().getBoolean(JabRefPreferences.OPEN_FOLDERS_OF_ATTACHED_FILES);
644, public void addPossibleSuggestions(Collection<T> newPossible) {
645," private final Map<Field, AutoCompleteSuggestionProvider<?>> providers = new HashMap<>();"
646,public class WordSuggestionProvider extends StringSuggestionProvider implements AutoCompleteSuggestionProvider<String> {
647, int columnsNumber = 2;
648, public BasePanel getBasePanelAt(int i) {
649,public class CopyFilesResultListDependency {
650,    }
651, /*
652," void openPdfWithParameters(String filePath, List<String> parameters) throws IOException;"
653, if (!file.isPresent() || !Files.exists(file.get())) {
654,"                command = command.replace(""%DIR"", absolutePath);"
655," EasyBind.subscribe(currentPage, this::showPage);"
656,"            viewModel.getKeywords().set(event.getTablePosition().getRow(), event.getNewValue());"
657," Optional<FieldChange> change = entry.putKeywords(keywords, preferences.getKeywordDelimiter());"
658," for (Map.Entry<Field, String> field : outOfFocusEntry.getFieldMap().entrySet()) {"
659," if (!Objects.equals(newEntry.getType(), outOfFocusEntry.getType())) {"
660, return Collections.emptySortedSet();
661, private StackPane getRelatedArticlesPane(BibEntry entry) {
662," LOGGER.debug(""Mode MOVE"");"
663,"        entryEditorTabs.add(new RequiredFieldsTab(databaseContext, panel.getSuggestionProviders(), undoManager, dialogService));"
664,        entryEditorTabs.add(new MathSciNetTab());
665, if (typeSubscription != null) {
666, private EntryType currentEntryType;
667, protected void handleFocus() {
668,        content.textProperty().bind(EasyBind.select(viewModel.currentAnnotationProperty()).selectObject(FileAnnotationViewModel::contentProperty));
669, public void copyCurrentAnnotation() {
670, public void reportIssue() {
671, Globals.prefs.fileDirForDatabase = panel.getBibDatabaseContext().getFileDirectoriesAsPaths(Globals.prefs.getFilePreferences()).stream().map(Path::toString).collect(Collectors.toList());
672,public class ExportCommand extends SimpleCommand {
673, Globals.prefs.fileDirForDatabase = frame.getCurrentBasePanel()
674," Globals.prefs.put(JabRefPreferences.LAST_USED_EXPORT, format.getName());"
675,                })
676, if (context.getLocation() == DatabaseLocation.SHARED) {
677,                        entriesToAdd = xmpEntriesInFile;
678, Files.createDirectories(destination.getParent());
679,public class FindUnlinkedFilesDialog extends BaseDialog<Void> {
680,        stateManager.activeDatabaseProperty().bind(
681," return node.path.getFileName() + "" ("" + node.fileCount + "" file"" + (node.fileCount > 1 ? ""s"" : """") + "")"";"
682, VBox panelDirectory = new VBox(5);
683," EasyBind.subscribe(stateManager.activeSearchQueryProperty(),"
684, public Optional<ExternalFileType> getExternalFileTypeForName(String filename) {
685, List<ExternalFileType> defTypes = new ArrayList<>(getDefaultExternalFileTypes());
686, ExternalFileType toRemove = null;
687,                types.add(type);
688,            setWindowTitle();
689, Optional<ExternalFileType> mimeType = getExternalFileTypeByMimeType(linkedFile.getFileType());
690, return FileHelper.getFileExtension(linkedFile.getLink())
691, public static ExternalFileType buildFromArgs(String[] val) {
692, public void storeSettings() {
693, if (link.substring(index + 1).indexOf('/') >= 1) {
694, void addToContextMenu(final Supplier<List<MenuItem>> items);
695, try {
696,        );
697,        taskExecutor.execute(writeTask);
698, if (!suggestedType.isPresent()) {
699," @SuppressWarnings(""unchecked"")"
700, public static Supplier<List<MenuItem>> getDOIMenu(TextArea textArea) {
701,public class FileListEntry {
702,class UndoableMoveGroup extends AbstractUndoableJabRefEdit {
703, for (int i = 0; i < tabbedPane.getTabs().size(); i++) {
704," PseudoClass anySelected = PseudoClass.getPseudoClass(""any-selected"");"
705,        m_pathToNode = editedNode.getNode().getIndexedPathFromRoot();
706, for (int i = 0; i < (m_pathToNode.size() - 1); ++i) {
707, private final List<GroupTreeNode> m_modifiedSubtree = new ArrayList<>();
708," public UndoableModifySubtree(GroupTreeNodeViewModel groupRoot,"
709, final GroupTreeNode subtreeRoot = m_groupRoot.getDescendant(m_subtreeRootPath).get(); //TODO: NULL
710,class GroupDialog extends BaseDialog<AbstractGroup> {
711, HBox mainPanel = new HBox(15);
712,                                warnAboutSameName = true;
713, if (editedGroup == null) {
714,public class GroupSidePane extends SidePaneComponent {
715,    }
716, if (targetParent.equals(getParent())) {
717, boolean keepPreviousAssignments = dialogService.showConfirmationDialogAndWait(
718, boolean removePreviousAssignments = (oldGroup.getGroupNode().getGroup() instanceof ExplicitGroup)
719," private static final Set<String> AVAILABLE_LANG_FILES = Stream.of(""en"", ""de"", ""fr"", ""in"", ""ja"")"
720, return false;
721,public class ErrorConsoleAction extends SimpleCommand {
722," OPEN(MaterialDesignIcon.FOLDER_OUTLINE) /*css: folder */,"
723," READ_STATUS_SKIMMED(Color.ORANGE, MaterialDesignIcon.EYE), /*css: eye */"
724, TextInputControl textInput = (TextInputControl) focusOwner;
725," TOGGLE_GROUPS(MaterialDesignIcon.VIEW_LIST), /*css: view-list */"
726," WRITE_XMP(MaterialDesignIcon.IMPORT), /* css: import */"
727," REG_EX(MaterialDesignIcon.REGEX), /*css: mdi-regex */"
728," FORUM(MaterialDesignIcon.FORUM), /* css: forum */"
729, break;
730,"        jabRefFrame.getDialogService().showWarningDialogAndWait(dialogTitle, dialogContent.toString());"
731,"                    imports.add(Globals.IMPORT_FORMAT_READER.importUnknownFormat(filename, Globals.getFileUpdateMonitor()));"
732, ParserResult pr = importResult.parserResult;
733," UpdateField.setAutomaticFields(entries, Globals.prefs.getUpdateFieldPreferences()); // set timestamp and owner"
734,                entries.add(dialog.getMergedEntry());
735, boolean overwriteOwner = Globals.prefs.getBoolean(JabRefPreferences.OVERWRITE_OWNER);
736, boolean isActionNecessary(ParserResult pr);
737," public void openFile(Path file, boolean raisePanel) {"
738, private static final List<GUIPostOpenAction> POST_OPEN_ACTIONS = Arrays.asList(
739,"                openTheFile(theFile, raisePanel);"
740, else if (toRaise != null) {
741,public class AbbreviateAction implements BaseAction {
742,public class UnabbreviateAction implements BaseAction {
743, UndoableUnabbreviator undoableAbbreviator = new UndoableUnabbreviator(Globals.journalAbbreviationLoader
744," public class JournalAbbreviationsAbbreviationTableEditingCell extends TableCell<AbbreviationViewModel, String> {"
745," public boolean unabbreviate(BibDatabase database, BibEntry entry, Field field, CompoundEdit ce) {"
746," TABLE_ICONS.put(SpecialField.QUALITY, icon);"
747," TABLE_ICONS.put(SpecialField.RANKING, icon);"
748, final JabRefPreferences preferences = JabRefPreferences.getInstance();
749," Class<?> clazz = Class.forName(""javafx.scene.control.TableUtil"");"
750, if (preferences.resizeColumnsToFit()) {
